procedure_name_en,property_type_id,property_type_en,property_sub_type_id,property_sub_type_en,property_usage_en,reg_type_id,reg_type_en,area_id,area_name_en,building_name_en,project_number,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,instance_year,instance_month,instance_day,meter_sale_price,procedure_area_clipped
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,P-08,1046.0,Unknown,International City Phase 1,Unknown,Rashidiya Metro Station,City Centre Mirdif,1 B/R,0,85.0,1.0,1.0,0.0,2009.0,3.0,25.0,4117.65,85.0
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,351,Al Thanyah Third,TNARO,1459.0,TANARO,The Greens,Burj Al Arab,Nakheel Metro Station,Marina Mall,3 B/R,1,186.46,1.0,1.0,0.0,2022.0,10.0,25.0,15016.63,186.46
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,435,Al Hebiah Fourth,Sportz By Danube - 1,2845.0,Sportz By Danube ,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,67.04,1.0,1.0,0.0,2024.0,4.0,24.0,15662.29,67.04
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,Bahar 1,1046.0,Unknown,Jumeriah Beach Residence  - JBR,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,1 B/R,1,119.48,1.0,1.0,0.0,2007.0,11.0,19.0,5398.39,119.48
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,390,Burj Khalifa,ZAAFARAN 2,1046.0,Unknown,DownTown Dubai,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,80.83,1.0,1.0,0.0,2008.0,12.0,22.0,13545.56,80.83
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,E-07,1046.0,Unknown,International City Phase 1,Unknown,Rashidiya Metro Station,City Centre Mirdif,Studio,0,45.0,2.0,1.0,0.0,2015.0,6.0,22.0,6666.67,45.0
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,THE ZEN TOWER,525.0,THE ZEN,Dubai Marina,Sports City Swimming Academy,Jumeirah Beach Residency,Marina Mall,2 B/R,1,135.9,1.0,1.0,0.0,2009.0,6.0,17.0,7358.35,135.9
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,232,Mirdif,Unknown,1046.0,Unknown,Unknown,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,Unknown,0,1393.55,1.0,1.0,0.0,2001.0,8.0,28.0,505.9,1393.55
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,DEC TOWERS T2,1046.0,Unknown,Dubai Marina,Sports City Swimming Academy,Jumeirah Beach Residency,Marina Mall,2 B/R,1,138.5,2.0,1.0,0.0,2013.0,7.0,30.0,8789.17,138.5
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,MARINA HEIGHTS 1,1046.0,Unknown,Dubai Marina,Burj Al Arab,Marina Towers,Marina Mall,2 B/R,1,113.1,1.0,1.0,0.0,2015.0,6.0,22.0,11936.34,113.1
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,232,Mirdif,Unknown,1046.0,Unknown,Unknown,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,Unknown,0,2787.09,1.0,1.0,0.0,2015.0,6.0,22.0,3049.78,2189.4440000000054
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,364,Al Wasl,MR.C RESIDENCES DOWNTOWN,2476.0,MR.C RESIDENCES DOWNTOWN,Unknown,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,2 B/R,1,217.55,1.0,1.0,0.0,2025.0,4.0,30.0,45794.84,217.55
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,M-05,1046.0,Unknown,International City Phase 1,Unknown,Rashidiya Metro Station,City Centre Mirdif,Studio,0,44.0,1.0,2.0,0.0,2008.0,12.0,25.0,6818.18,44.0
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,435,Al Hebiah Fourth,The Matrix,99.0,THE MATRIX,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,109.09,2.0,1.0,0.0,2017.0,8.0,29.0,9166.74,109.09
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,352,Al Thanayah Fourth,Unknown,1046.0,Unknown,Meadows 5,Sports City Swimming Academy,Damac Properties,Marina Mall,Unknown,0,611.77,1.0,1.0,0.0,2015.0,6.0,22.0,2961.71,611.77
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,350,Al Thanyah Fifth,ARMADA  3,1260.0,ARMADA TOWERS,Jumeirah Lakes Towers,Burj Al Arab,Marina Mall Metro Station,Marina Mall,Studio,1,44.64,1.0,1.0,0.0,2015.0,6.0,22.0,6720.43,44.64
Delayed Sell,3,Unit,112.0,Hotel Rooms,Hospitality ,1,Existing Properties,330,Marsa Dubai,TFG ONE HOTEL,1688.0,TFG ONE HOTEL,Dubai Marina,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,Studio,1,40.82,1.0,1.0,0.0,2015.0,6.0,22.0,45320.92,40.82
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,390,Burj Khalifa,Burj Views Podium,1451.0,BURJ VIEWS,DownTown Dubai,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,111.02,1.0,1.0,0.0,2023.0,9.0,28.0,14862.19,111.02
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,371,Al Safouh Second,The S Tower,2408.0,THE S TOWER,Site A,Burj Al Arab,Dubai Internet City,Marina Mall,4 B/R,1,447.24,1.0,1.0,0.0,2023.0,7.0,20.0,33621.73,447.24
Sell,2,Building,60.0,Unknown,Residential / Commercial,1,Existing Properties,240,Port Saeed,Unknown,1046.0,Unknown,Unknown,Dubai International Airport,Al Rigga Metro Station,Dubai Mall,Unknown,0,1222.23,1.0,4.0,0.0,2015.0,6.0,22.0,6545.41,1222.23
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,Amwaj 4,1046.0,Unknown,Jumeriah Beach Residence  - JBR,Burj Al Arab,Jumeirah Beach Residency,Marina Mall,2 B/R,1,118.59,1.0,1.0,0.0,2015.0,6.0,22.0,13491.86,118.59
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,MARINA DIAMOND 5 (A),1046.0,Unknown,Dubai Marina,Burj Al Arab,Dubai Marina,Marina Mall,1 B/R,1,65.77,1.0,1.0,0.0,2012.0,5.0,21.0,9122.7,65.77
Lease to Own Registration,3,Unit,60.0,Flat,Residential,1,Existing Properties,351,Al Thanyah Third,AL GHOZLAN 3,1046.0,Unknown,The Greens,Burj Al Arab,Dubai Internet City,Marina Mall,2 B/R,1,100.8,2.0,2.0,2.0,2009.0,7.0,27.0,14969.13,100.8
