procedure_name_en,property_type_id,property_type_en,property_sub_type_id,property_sub_type_en,property_usage_en,reg_type_id,reg_type_en,area_id,area_name_en,building_name_en,project_number,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,instance_year,instance_month,instance_day,meter_sale_price,procedure_area_clipped
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,Bahar 1,1046.0,Unknown,Jumeriah Beach Residence  - JBR,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,1 B/R,1,111.3,1.0,1.0,0.0,2023.0,10.0,17.0,13611.86,111.3
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,350,Al Thanyah Fifth,GOLDCREST VIEWS 2,150.0,GOLD CREST VIEWS2,Jumeirah Lakes Towers,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,Studio,1,36.55,1.0,2.0,0.0,2015.0,6.0,22.0,8153.21,36.55
Sell,4,Villa,4.0,Villa,Residential,1,Existing Properties,352,Al Thanayah Fourth,Unknown,1035.0,Emirates Living - Springs 5,Springs - 4,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,2 B/R,0,286.23,1.0,2.0,0.0,2015.0,6.0,22.0,1718.51,286.23
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,330,Marsa Dubai,ROVE HOME DUBAI MARINA,3393.0,ROVE HOME DUBAI MARINA,Dubai Marina,Burj Al Arab,Marina Mall Metro Station,Marina Mall,Studio,1,36.78,1.0,1.0,0.0,2015.0,6.0,22.0,42876.56,36.78
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,330,Marsa Dubai,PRINCESS TOWER,221.0,PRINCESS TOWER,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,1 B/R,1,83.91,1.0,1.0,0.0,2015.0,6.0,22.0,83422.71,83.91
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,Bahar 1,1046.0,Unknown,Jumeriah Beach Residence  - JBR,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,1 B/R,1,119.48,1.0,1.0,0.0,2014.0,4.0,28.0,9708.74,119.48
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,330,Marsa Dubai,OCEAN HEIGHTS,431.0,OCEAN HEIGHTS,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,1 B/R,1,84.82,1.0,1.0,0.0,2015.0,6.0,22.0,19924.55,84.82
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,409,Al Barshaa South Third,2020 Marquis,2129.0,2020 Marquis,Arjan,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,2 B/R,1,119.11,1.0,1.0,0.0,2021.0,7.0,14.0,9127.28,119.11
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,Universal Apartment,1046.0,Unknown,International City Phase 1,Unknown,Rashidiya Metro Station,City Centre Mirdif,Studio,1,60.85,1.0,1.0,0.0,2013.0,2.0,26.0,5751.85,60.85
Sell,1,Land,60.0,Unknown,Residential,1,Existing Properties,264,Nad Al Hamar,Unknown,1046.0,Unknown,Unknown,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,Unknown,0,1393.55,11.0,1.0,0.0,2003.0,3.0,31.0,430.56,1393.55
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,350,Al Thanyah Fifth,Unknown,1046.0,Unknown,Jumeirah Islands,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,Unknown,0,988.12,1.0,2.0,0.0,2006.0,6.0,21.0,2125.25,988.12
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,U-09,1046.0,Unknown,International City Phase 1,Unknown,Rashidiya Metro Station,City Centre Mirdif,1 B/R,0,69.0,1.0,1.0,0.0,2019.0,5.0,29.0,4710.14,69.0
Sell,2,Building,60.0,Unknown,Commercial,1,Existing Properties,376,Ras Al Khor Industrial First,Unknown,1046.0,Unknown,Unknown,Downtown Dubai,Creek Metro Station,Dubai Mall,Unknown,0,503.22,2.0,1.0,0.0,2023.0,12.0,27.0,3775.68,503.22
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,328,Al Jafliya,Unknown,1046.0,Unknown,Unknown,Burj Khalifa,Al Jafiliya Metro Station,Dubai Mall,Unknown,0,34.73,1.0,2.0,0.0,2015.0,6.0,22.0,9746.59,34.73
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,390,Burj Khalifa,YANSOON 7,1046.0,Unknown,DownTown Dubai,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,2 B/R,1,136.94,1.0,2.0,0.0,2015.0,6.0,22.0,14239.81,136.94
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,435,Al Hebiah Fourth,Spanish,1960.0,Canal Residence West 2,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,98.42,1.0,1.0,0.0,2021.0,3.0,31.0,4481.39,98.42
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,350,Al Thanyah Fifth,Unknown,1046.0,Unknown,Jumeirah Islands,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,Unknown,0,817.58,2.0,1.0,0.0,2015.0,6.0,22.0,4751.83,817.58
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,DAMAC HEIGHTS,430.0,DAMAC HEIGHTS,Dubai Marina,Burj Al Arab,Marina Towers,Marina Mall,3 B/R,1,132.24,1.0,1.0,0.0,2024.0,6.0,27.0,23253.18,132.24
