transaction_id,procedure_id,trans_group_id,trans_group_ar,trans_group_en,procedure_name_ar,procedure_name_en,instance_date,property_type_id,property_type_ar,property_type_en,property_sub_type_id,property_sub_type_ar,property_sub_type_en,property_usage_ar,property_usage_en,reg_type_id,reg_type_ar,reg_type_en,area_id,area_name_ar,area_name_en,building_name_ar,building_name_en,project_number,project_name_ar,project_name_en,master_project_en,master_project_ar,nearest_landmark_ar,nearest_landmark_en,nearest_metro_ar,nearest_metro_en,nearest_mall_ar,nearest_mall_en,rooms_ar,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,source_dataset,actual_worth_was_missing,procedure_area_was_missing,meter_sale_price_was_missing,rent_value_was_missing,meter_rent_price_was_missing,instance_year,instance_month,instance_day
3-9-2006-163,9,3,هبات,Gifts,هبه,Grant,2006-10-16,4,فيلا,Villa,60.0,Unknown,Unknown,سكني,Residential,1,العقارات القائمة,Existing Properties,278,منخول,Mankhool,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,Unknown,Unknown,0,3162.42,12000000,3794.56,1259412.0,8456.15,3.0,1.0,0.0,transactions,0,0,0,1,1,2006.0,10.0,16.0
3-9-2019-2944,9,3,هبات,Gifts,هبه,Grant,2019-11-13,1,أرض,Land,60.0,Unknown,Unknown,سكني,Residential,1,العقارات القائمة,Existing Properties,278,منخول,Mankhool,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,Unknown,Unknown,0,209.09,916659,4384.04,1259412.0,8456.15,2.0,4.0,0.0,transactions,0,0,0,1,1,2019.0,11.0,13.0
2-13-1999-347,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,1999-03-22,1,أرض,Land,60.0,Unknown,Unknown,سكني,Residential,1,العقارات القائمة,Existing Properties,278,منخول,Mankhool,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,Unknown,Unknown,0,1062.72,1200000,1129.18,1259412.0,8456.15,1.0,1.0,0.0,transactions,0,0,0,1,1,1999.0,3.0,22.0
2-13-2001-690,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,2001-08-20,2,مبنى,Building,60.0,Unknown,Unknown,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,388,عود ميثا,Oud Metha,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,برج خليفة,Burj Khalifa,محطة مترو عود ميثاء,Oud Metha Metro Station,مول دبي,Dubai Mall,Unknown,Unknown,0,1337.8,4519342,3378.19,1259412.0,8456.15,1.0,1.0,0.0,transactions,0,0,0,1,1,2001.0,8.0,20.0
2-13-2020-9477,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,2020-11-30,2,مبنى,Building,60.0,Unknown,Unknown,سكني,Residential,1,العقارات القائمة,Existing Properties,276,البدع,Al Bada,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,برج خليفة,Burj Khalifa,محطة مترو المركز التجاري,Trade Centre Metro Station,مول دبي,Dubai Mall,Unknown,Unknown,0,278.71,2500000,8969.9,1259412.0,8456.15,1.0,1.0,0.0,transactions,0,0,0,1,1,2020.0,11.0,30.0
1-11-2013-15239,11,1,مبايعات,Sales,بيع,Sell,2013-05-16,4,فيلا,Villa,60.0,Unknown,Unknown,سكني,Residential,1,العقارات القائمة,Existing Properties,276,البدع,Al Bada,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,برج خليفة,Burj Khalifa,محطة مترو أبراج الإمارات,Emirates Towers Metro Station,مول دبي,Dubai Mall,Unknown,Unknown,0,382.67,2000000,5226.44,1259412.0,8456.15,1.0,1.0,0.0,transactions,0,0,0,1,1,2013.0,5.0,16.0
2-13-1999-532,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,1999-04-26,4,فيلا,Villa,60.0,Unknown,Unknown,سكني,Residential,1,العقارات القائمة,Existing Properties,276,البدع,Al Bada,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,برج خليفة,Burj Khalifa,محطة مترو المركز التجاري,Trade Centre Metro Station,مول دبي,Dubai Mall,Unknown,Unknown,0,3626.93,1900000,523.86,1259412.0,8456.15,1.0,1.0,0.0,transactions,0,0,0,1,1,1999.0,4.0,26.0
2-13-1998-354,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,,2,مبنى,Building,60.0,Unknown,Unknown,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,271,الكرامه,Al Karama,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,مطار دبي الدولي,Dubai International Airport,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,Unknown,Unknown,0,929.03,5000000,5381.96,1259412.0,8456.15,1.0,1.0,0.0,transactions,0,0,0,1,1,2015.0,6.0,22.0
2-13-2007-1077,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,,2,مبنى,Building,60.0,Unknown,Unknown,سكني,Residential,1,العقارات القائمة,Existing Properties,271,الكرامه,Al Karama,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,Unknown,Unknown,0,211.35,1849364,8750.24,1259412.0,8456.15,1.0,1.0,0.0,transactions,0,0,0,1,1,2015.0,6.0,22.0
2-13-2006-578,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,2006-05-15,2,مبنى,Building,60.0,Unknown,Unknown,سكني,Residential,1,العقارات القائمة,Existing Properties,271,الكرامه,Al Karama,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,Unknown,Unknown,0,211.35,1200000,5677.79,1259412.0,8456.15,1.0,1.0,0.0,transactions,0,0,0,1,1,2006.0,5.0,15.0
